Y/X,0,17,34,51,68,85,102,119,136,153,170,187,204,221,238,255,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,0.552,0.498,0.449,0.39,0.328,0.259,0.197,0.147,0.11,0.078,0.055,0.035,0.02,0.01,0.006,0.008,
34,0.664,0.623,0.586,0.533,0.472,0.404,0.335,0.275,0.228,0.182,0.143,0.106,0.077,0.05,0.036,0.037,
51,0.664,0.625,0.588,0.535,0.476,0.411,0.347,0.291,0.251,0.213,0.183,0.156,0.14,0.124,0.118,0.123,
68,0.666,0.631,0.595,0.545,0.49,0.429,0.372,0.321,0.288,0.252,0.229,0.208,0.192,0.177,0.17,0.172,
85,0.689,0.662,0.626,0.583,0.537,0.485,0.433,0.388,0.359,0.323,0.3,0.276,0.255,0.231,0.217,0.221,
102,0.694,0.673,0.638,0.599,0.558,0.513,0.468,0.431,0.409,0.383,0.363,0.343,0.326,0.303,0.285,0.285,
119,0.811,0.797,0.773,0.742,0.702,0.654,0.605,0.559,0.524,0.484,0.449,0.414,0.382,0.341,0.314,0.315,
136,0.811,0.797,0.774,0.743,0.705,0.658,0.612,0.569,0.538,0.504,0.475,0.448,0.426,0.395,0.379,0.381,
153,0.816,0.804,0.783,0.757,0.727,0.686,0.651,0.622,0.603,0.58,0.565,0.548,0.534,0.512,0.499,0.499,
170,0.828,0.831,0.82,0.8,0.78,0.753,0.727,0.708,0.694,0.677,0.662,0.641,0.623,0.594,0.569,0.565,
187,0.97,0.964,0.955,0.942,0.921,0.898,0.869,0.84,0.811,0.784,0.751,0.716,0.681,0.636,0.601,0.597,
204,0.97,0.965,0.957,0.945,0.926,0.906,0.882,0.858,0.836,0.816,0.792,0.767,0.743,0.709,0.684,0.685,
221,0.971,0.972,0.968,0.96,0.946,0.935,0.921,0.908,0.896,0.885,0.869,0.852,0.832,0.798,0.773,0.78,
238,1.0,1.0,1.0,0.999,0.998,0.996,0.993,0.988,0.981,0.972,0.957,0.939,0.914,0.876,0.838,0.838,
255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,